Time,Competitor,Operation,OrderId,Instrument,Side,Volume,Price,Lifespan,Fee
0.0,,Insert,41896283,0,A,100,82700,G,
0.0,,Insert,41896307,0,A,800,82800,G,
0.0,,Insert,41896335,0,A,800,82700,G,
0.0,,Insert,41896419,0,A,300,83100,G,
0.0,,Insert,41896735,0,A,100,83000,G,
0.0,,Insert,41896771,0,B,100,82100,G,
0.0,,Insert,41897163,0,B,400,82200,G,
0.0,,Insert,41900227,0,B,100,80800,G,
0.0,,Insert,41902587,0,A,100,83100,G,
0.0,,Insert,41903323,0,B,800,82400,G,
0.0,,Insert,41904111,0,A,100,82600,G,
0.0,,Insert,41904115,0,A,100,82600,G,
0.0,,Insert,41904119,0,A,100,82600,G,
0.0,,Insert,7047741,1,A,1000,83000,G,
0.0,,Insert,7047742,1,B,1000,82000,G,
0.084444,,Insert,41904155,0,A,100,82600,G,
0.08449,,Insert,41904171,0,B,100,82500,G,
0.084567,,Insert,41904195,0,A,100,82600,G,
0.084611,,Insert,41904215,0,A,100,82600,G,
0.084654,,Cancel,41904171,,,-100,,,
0.08469,,Insert,41904235,0,A,100,82500,G,
0.084703,,Cancel,41904215,,,-100,,,
0.084716,,Cancel,41904235,,,-100,,,
0.084745,,Cancel,41896419,,,-300,,,
0.084758,,Cancel,41904119,,,-100,,,
0.084789,,Insert,41904283,0,A,800,82600,G,
0.084952,,Insert,41904375,0,B,200,82500,G,
0.085062,,Cancel,41903323,,,-800,,,
0.085062,,Insert,41904435,0,A,100,82900,G,
0.085125,,Cancel,41904375,,,-200,,,
0.085326,,Insert,41904567,0,B,100,82500,G,
0.085326,,Cancel,41900227,,,-100,,,
0.085363,,Insert,41904583,0,A,800,82600,G,
0.085382,,Cancel,41904567,,,-100,,,
0.085382,,Insert,41904591,0,B,300,82200,G,
0.085544,,Insert,41904727,0,B,200,82500,G,
0.085557,,Insert,41904731,0,B,100,82500,G,
0.085791,,Cancel,41904731,,,-100,,,
0.086059,,Cancel,41904727,,,-200,,,
0.08708,,Insert,41905515,0,A,800,82600,G,
0.08711,,Insert,41905523,0,A,100,82500,G,
0.087113,,Insert,41905527,0,A,300,83500,G,
0.087139,,Cancel,41904583,,,-800,,,
0.087139,,Insert,41905539,0,A,300,82700,G,
0.08714,,Cancel,41905515,,,-800,,,
0.087816,,Cancel,41905523,,,-100,,,
0.089562,,Cancel,41904435,,,-100,,,
0.091084,,Insert,41906383,0,B,200,82500,G,
0.091368,,Cancel,41905527,,,-300,,,
0.09194,,Cancel,41906383,,,-200,,,
0.091969,,Insert,41906479,0,A,800,82600,G,
0.092008,,Insert,41906491,0,A,200,82600,G,
0.093205,,Insert,41906659,0,A,800,82600,G,
0.096417,,Insert,5004713,1,A,90,83300,G,
0.097091,,Cancel,41906479,,,-800,,,
0.097539,,Cancel,41905539,,,-300,,,
0.10183,,Cancel,41906659,,,-800,,,
0.106803,,Insert,41907799,0,A,100,84100,G,
0.11492,,Insert,41908187,0,B,800,82400,G,
0.114963,,Insert,41908191,0,B,100,80700,G,
0.115393,,Insert,41908211,0,A,800,82600,G,
0.115408,,Cancel,41907799,,,-100,,,
0.11627,,Insert,41908255,0,A,100,82500,G,
0.116298,,Cancel,41908211,,,-800,,,
0.116303,,Insert,41908263,0,A,300,82700,G,
0.123563,,Insert,41908663,0,A,200,82500,G,
0.123565,,Cancel,41906491,,,-200,,,
0.123832,,Cancel,41908255,,,-100,,,
0.124323,,Cancel,41908187,,,-800,,,
0.124368,,Insert,41908811,0,A,100,84000,G,
0.124569,,Cancel,41908663,,,-200,,,
0.127853,,Insert,41909187,0,A,100,82500,G,
0.128199,,Cancel,41909187,,,-100,,,
0.134369,,Insert,41910431,0,B,800,82400,G,
0.134605,,Cancel,41908811,,,-100,,,
0.134749,,Cancel,41908263,,,-300,,,
0.134965,,Insert,41910523,0,B,100,82400,G,
0.135055,,Cancel,41910523,,,-100,,,
0.143141,,Cancel,41904155,,,-100,,,
0.146221,,Insert,41913391,0,B,300,82400,G,
0.146222,,Insert,41913395,0,B,300,82400,G,
0.148627,,Insert,41913799,0,B,100,82400,G,
0.150117,,Cancel,41913799,,,-100,,,
0.15015,,Cancel,41913391,,,-300,,,
0.150366,,Cancel,41913395,,,-300,,,
0.154167,,Cancel,41910431,,,-800,,,
